,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Hour
2347,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,0
2348,Saturday,31-50,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Governmental,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,,,Not a Pedestrian,Driving under the influence of drugs,2
2349,Saturday,Above 50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Unknown,No defect,,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Moving Backward,14
2350,Saturday,31-50,Male,Junior high school,Owner,2-5yr,,Owner,Unknown,,Other,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Overturning,14
2351,Monday,18-30,Male,Elementary school,Employee,1-2yr,,Owner,Unknown,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,Under 18,3,Employee,Normal,Not a Pedestrian,Driving under the influence of drugs,15
2352,Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,2,Other,Normal,Not a Pedestrian,Changing lane to the right,15
2353,Monday,Above 50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the left,15
2354,Saturday,18-30,Male,Unknown,,Unknown,Lorry (41?100Q),Owner,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,19
2355,Saturday,18-30,Male,Elementary school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Employee,Normal,Not a Pedestrian,No distancing,19
2356,Friday,18-30,Male,High school,Other,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,,,Not a Pedestrian,No priority to vehicle,7
2357,Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Employee,Normal,Not a Pedestrian,Moving Backward,7
2358,Tuesday,Unknown,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Other,1-2yr,No defect,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Pedestrian,Male,Over 51,3,Employee,Normal,Not a Pedestrian,Moving Backward,11
2359,Wednesday,Above 50,Male,High school,Owner,Unknown,Lorry (41?100Q),Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,,Passenger,Female,18-30,3,Employee,Normal,Not a Pedestrian,Getting off the vehicle improperly,22
2360,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,19
2361,Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,5-10yrs,,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,19
2362,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,2-5yrs,,Residential areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Student,Normal,Not a Pedestrian,No priority to vehicle,12
2363,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,12
2364,Friday,18-30,Male,Elementary school,Employee,5-10yr,,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,22
2365,Friday,Unknown,Male,Junior high school,Employee,5-10yr,Long lorry,Governmental,1-2yr,No defect, Industrial areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Female,Under 18,3,,,Not a Pedestrian,Driving carelessly,22
2366,Sunday,18-30,Male,Above high school,Employee,1-2yr,Lorry (41?100Q),Governmental,1-2yr,No defect, Church areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Entering a junction,Pedestrian,Male,Under 18,3,,,Unknown or other,Changing lane to the left,16
2367,Sunday,Unknown,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Organization,1-2yr,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Entering a junction,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,16
2368,Sunday,Unknown,Female,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Entering a junction,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,16
2369,Sunday,31-50,Male,Elementary school,Employee,2-5yr,Public (12 seats),Owner,Unknown,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Entering a junction,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,20
2370,Sunday,Above 50,Male,Elementary school,Employee,2-5yr,,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,8
2371,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,na,na,na,na,,,Not a Pedestrian,No priority to vehicle,8
2372,Friday,18-30,Male,Junior high school,Employee,1-2yr,,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,21
2373,Friday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Entering a junction,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,21
2374,Friday,18-30,Male,Junior high school,Employee,5-10yr,,Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Entering a junction,Pedestrian,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,21
2375,Friday,31-50,Male,Above high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,11
2376,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,,Other,One way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,11
2377,Friday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,1-2yr,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,Passenger,Male,31-50,3,Other,Normal,Not a Pedestrian,Driving under the influence of drugs,14
2378,Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,,Dry,Daylight,Normal,Rollover,1,1,Other,Driver or rider,Female,Over 51,3,,,Not a Pedestrian,Changing lane to the right,16
2379,Saturday,18-30,Male,Unknown,,Unknown,Automobile,,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,21
2380,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Below 1yr,No defect,Residential areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Other,Normal,Not a Pedestrian,Changing lane to the right,21
2381,Monday,31-50,Male,Junior high school,Employee,Unknown,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Over 51,3,,,Not a Pedestrian,Driving to the left,14
2382,Monday,31-50,Male,Junior high school,Employee,Unknown,Taxi,Owner,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Male,Over 51,3,,,Not a Pedestrian,Moving Backward,14
2383,Monday,31-50,Male,Junior high school,Employee,1-2yr,,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,9
2384,Wednesday,31-50,Male,Above high school,Owner,5-10yr,,Owner,Above 10yr,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,No distancing,17
2385,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,17
2386,Thursday,Unknown,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,2-5yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,19
2387,Friday,31-50,Male,High school,Employee,2-5yr,,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,10
2388,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,No priority to vehicle,21
2389,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Governmental,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Overtaking,Pedestrian,Female,31-50,2,Self-employed,Normal,Not a Pedestrian,No distancing,21
2390,Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Driving to the left,21
2391,Sunday,Unknown,Female,Unknown,Owner,Unknown,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Raining and Windy,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,21
2392,Saturday,Under 18,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,21
2393,Saturday,18-30,Male,Unknown,,Unknown,Ridden horse,,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,21
2394,Wednesday,Unknown,Male,Elementary school,Employee,No Licence,Stationwagen,Owner,Unknown,,Other,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,16
2395,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Unknown or other,Changing lane to the left,12
2396,Monday,31-50,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Driving carelessly,12
2397,Wednesday,Above 50,Male,Junior high school,Employee,Above 10yr,Other,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,17
2398,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Driving under the influence of drugs,17
2399,Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,9
2400,Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Stationwagen,Governmental,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,1,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,9
2401,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Organization,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,16
2402,Wednesday,18-30,Male,Junior high school,Employee,Unknown,Public (12 seats),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,16
2403,Thursday,Unknown,Female,Above high school,Employee,1-2yr,,Owner,1-2yr,,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,2
2404,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,18
2405,Wednesday,Unknown,Unknown,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,,,Not a Pedestrian,Driving carelessly,18
2406,Sunday,18-30,Male,Unknown,Employee,5-10yr,,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Other,Dry,Daylight,Normal,,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,12
2407,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Governmental,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,19
2408,Thursday,Unknown,Male,Junior high school,Employee,Above 10yr,,Owner,Unknown,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,19
2409,Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,No priority to vehicle,15
2410,Thursday,Unknown,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,3,,,Not a Pedestrian,No distancing,15
2411,Friday,Above 50,Male,Junior high school,Employee,Below 1yr,Automobile,Governmental,2-5yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,14
2412,Saturday,31-50,Male,Junior high school,Employee,1-2yr,,Owner,Unknown,,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Collision with roadside objects,1,1,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Unknown or other,No distancing,10
2413,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,One way,Escarpments,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,18
2414,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,2,,,Not a Pedestrian,Changing lane to the left,16
2415,Saturday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,,2,1,Reversing,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,16
2416,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,,1,1,Other,Driver or rider,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,9
2417,Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,,2,1,Other,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,9
2418,Friday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Male,Over 51,3,,,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No distancing,9
2419,Monday,Above 50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,3,,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No priority to vehicle,18
2420,Monday,18-30,Male,Junior high school,Employee,1-2yr,Bajaj,Governmental,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,18
2421,Monday,18-30,Male,High school,Employee,Below 1yr,Public (12 seats),Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,18
2422,Monday,31-50,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,Over 51,2,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,12
2423,Tuesday,18-30,Male,High school,Owner,1-2yr,,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,18
2424,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,,Owner,Below 1yr,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,18
2425,Tuesday,31-50,Male,Unknown,Employee,5-10yr,Automobile,Owner,2-5yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,11
2426,Wednesday,31-50,Male,High school,Owner,2-5yr,Lorry (11?40Q),Owner,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,No distancing,10
2427,Thursday,31-50,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Driving carelessly,18
2428,Thursday,31-50,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Below 1yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,18
