Date,Price,Open,High,Low,Vol.,Change %,Daily Return %,MA_30,MA_100
2025-02-08,96482.45,96533.26,96877.8,95702.49,22447526395.0,-0.05,-0.04831704100805023,100370.903,95259.6335
2025-02-09,96500.09,96481.31,97325.28,94745.26,27732901800.0,0.02,0.01828311781053582,100430.85766666666,95529.80970000001
2025-02-10,97437.55,96499.46,98333.22,95320.84,40078962391.0,0.97,0.9714602338712908,100526.55633333333,95811.2925
2025-02-11,95747.43,97438.13,98492.9,94875.04,37488783272.0,-1.74,-1.7345674229288455,100568.52266666667,96081.35560000001
2025-02-12,97885.86,95745.7,98151.02,94101.2,49340445530.0,2.24,2.233407204767812,100680.834,96382.0991
2025-02-13,96623.87,97888.75,98111.09,95269.71,37147280860.0,-1.29,-1.289246475435779,100683.828,96654.7422
2025-02-14,97508.97,96623.37,98819.47,96342.8,32697987277.0,0.92,0.9160262365810912,100583.97733333334,96873.4411
2025-02-15,97580.35,97508.38,97975.04,97240.2,17047266288.0,0.07,0.07320352168627142,100511.42533333333,97090.196
2025-02-16,96175.03,97580.49,97725.59,96060.98,16536755396.0,-1.44,-1.4401670008357237,100235.19166666667,97286.4915
2025-02-17,95773.38,96179.01,97032.23,95243.55,27336550690.0,-0.42,-0.41762399242297743,99947.36866666666,97476.4366
2025-02-18,95539.55,95773.81,96695.38,93388.84,37325720482.0,-0.24,-0.24414926151713479,99762.36666666667,97627.09019999999
2025-02-19,96635.61,95532.53,96855.59,95011.97,28990872862.0,1.15,1.1472316961928408,99582.99833333334,97706.4315
2025-02-20,98333.94,96632.68,98767.2,96442.67,31668022771.0,1.76,1.7574577321962437,99322.58733333334,97810.2128
2025-02-21,96125.55,98340.67,99497.97,94852.96,49608706470.0,-2.25,-2.24580648349898,99071.67,97865.6267
2025-02-22,96577.76,96134.2,96950.16,95765.34,18353824477.0,0.46,0.4704368401533099,98825.58966666667,97958.9
2025-02-23,96273.92,96577.8,96671.88,95270.45,16999478976.0,-0.31,-0.31460659265653,98540.73766666667,98010.9791
2025-02-24,91418.17,96277.96,96503.45,91371.74,44046480529.0,-5.05,-5.043681611800999,98097.52166666667,98019.576
2025-02-25,88736.17,91437.12,92511.08,86008.23,92139104128.0,-2.95,-2.933771262321261,97632.644,98008.4792
2025-02-26,84347.02,88638.89,89286.25,82131.9,64597492134.0,-4.84,-4.9462919123058775,97041.28833333333,97946.52299999999
2025-02-27,84704.23,84076.86,87000.78,83144.96,52659591954.0,0.75,0.42350043901964174,96487.01333333334,97870.1274
2025-02-28,84373.01,84705.62,85036.32,78248.91,83610570576.0,-0.39,-0.3910312389357684,95842.67333333334,97770.4626
2025-03-01,86031.91,84373.87,86522.3,83794.23,29190628396.0,1.97,1.9661500757173433,95219.227,97645.7344
2025-03-02,94248.35,86036.26,95043.44,85040.21,58398341092.0,9.54,9.550456336491898,94947.338,97598.2413
2025-03-03,86065.67,94248.42,94429.75,85081.3,70072228536.0,-8.68,-8.68204058744796,94460.99666666666,97481.12520000001
2025-03-04,87222.2,86064.07,88911.27,81529.24,68095241474.0,1.35,1.343776211815939,94112.104,97373.209
2025-03-05,90623.56,87222.95,90998.24,86379.77,50498988027.0,3.9,3.8996494011845684,93752.70866666667,97348.4216
2025-03-06,89961.73,90622.36,92804.94,87852.14,47749810486.0,-0.73,-0.7303067767366445,93489.039,97328.18569999999
2025-03-07,86742.67,89963.28,91191.05,84717.68,65945677657.0,-3.58,-3.5782548868279807,93159.94633333334,97235.98709999998
2025-03-08,86154.59,86742.66,86847.27,85247.48,18206118081.0,-0.68,-0.6779593019214158,92811.98933333332,97141.00829999999
2025-03-09,80601.04,86154.3,86471.13,80052.48,30899345977.0,-6.45,-6.4460291668731795,92281.05433333333,96972.4035
2025-03-10,78532.0,80597.15,83955.93,77420.59,54061099422.0,-2.56,-2.5670140236403793,91682.70599999999,96793.23300000001
2025-03-11,82862.21,78523.88,83577.76,76624.25,54702837196.0,5.52,5.513943360668261,91228.11,96649.05719999998
2025-03-12,83722.36,82857.38,84358.58,80635.25,40353484454.0,1.04,1.0380485869251999,90770.937,96527.62780000002
2025-03-13,81066.7,83724.92,84301.7,79931.85,31412940153.0,-3.17,-3.1719841628926937,90281.57933333333,96378.2732
2025-03-14,83969.1,81066.99,85263.29,80797.56,29588112414.0,3.58,3.5802616857476766,89817.68733333334,96230.27889999999
2025-03-15,84343.11,83968.41,84672.67,83639.59,13650491277.0,0.45,0.4454138486657433,89408.32866666667,96107.77429999999
2025-03-16,82579.69,84333.32,85051.6,82017.91,21330270174.0,-2.08,-2.0907694771985508,88910.68599999999,95934.3641
2025-03-17,84075.69,82576.34,84725.33,82492.16,25092785558.0,1.82,1.8115834535101794,88460.53066666666,95775.8876
2025-03-18,82718.5,84075.72,84075.72,81179.99,24095774594.0,-1.61,-1.6142478283556194,88011.97966666665,95590.7124
2025-03-19,86854.23,82718.8,87021.19,82569.73,34931960257.0,5.0,4.999764260715556,87714.67466666667,95484.9275
2025-03-20,84167.2,86872.95,87443.27,83647.2,29028988961.0,-3.11,-3.0937238174813086,87335.59633333333,95359.8452
2025-03-21,84043.24,84164.54,84782.27,83171.07,19030452299.0,-0.14,-0.14727827467231336,86915.85066666667,95188.54729999999
2025-03-22,83832.48,84046.26,84513.88,83674.78,9863214091.0,-0.25,-0.2507756721421117,86432.46866666667,95026.44209999999
2025-03-23,86054.38,83831.9,86094.78,83794.91,12594615537.0,2.65,2.650404711873011,86096.763,94872.3933
2025-03-24,87498.91,86070.93,88758.73,85541.2,34582604933.0,1.66,1.6786246092296508,85794.13466666666,94733.65270000002
2025-03-25,87471.7,87512.82,88542.4,86346.08,30005840049.0,-0.05,-0.031097530243529015,85500.72733333333,94565.3827
2025-03-26,86900.88,87460.23,88292.16,85861.45,26704046038.0,-0.64,-0.6525767762601942,85350.151,94374.09430000001
2025-03-27,87177.1,86896.26,87786.73,85837.94,24413471941.0,0.32,0.3178563899467912,85298.182,94184.4593
2025-03-28,84353.15,87185.23,87489.86,83557.64,34198619509.0,-3.25,-3.239325465059073,85298.38633333333,94027.57540000002
2025-03-29,82597.59,84352.07,84567.34,81634.14,16969396135.0,-2.08,-2.0812026581105703,85228.16500000001,93878.64180000001
2025-03-30,82334.52,82596.98,83505.0,81573.25,14763760943.0,-0.32,-0.318495975487898,85160.21533333333,93724.4277
2025-03-31,82548.91,82336.06,83870.12,81293.89,29004228247.0,0.26,0.26038895957611885,85044.11533333334,93577.66950000002
2025-04-01,85169.17,82551.92,85487.37,82429.36,28175650319.0,3.17,3.1741909129993306,84741.47600000001,93478.3118
2025-04-02,82485.71,85180.61,88466.95,82343.54,47584398470.0,-3.16,-3.150741048668193,84622.14400000001,93356.30649999999
2025-04-03,83102.83,82487.48,83909.3,81282.1,36852112080.0,0.75,0.7481538317364311,84484.83166666668,93200.57389999999
2025-04-04,83843.8,83100.25,84696.15,81670.75,45157640207.0,0.89,0.8916302850336066,84258.83966666667,93046.0199
2025-04-05,83504.8,83844.7,84207.02,82377.73,14380803631.0,-0.41,-0.4043232773323746,84043.60866666665,92923.11270000001
2025-04-06,78214.48,83504.51,83704.72,77097.74,36294853736.0,-6.34,-6.33534838715859,83759.33566666667,92763.60889999999
2025-04-07,79235.34,78221.34,81119.06,74436.68,91262424987.0,1.3,1.3052058902648156,83528.694,92604.32299999999
2025-04-08,76271.95,79218.48,80823.89,76198.02,48314590749.0,-3.72,-3.7399852136685507,83384.391,92431.74020000001
2025-04-09,82573.95,76273.56,83541.0,74589.67,84213627038.0,8.26,8.262539505021183,83519.12266666668,92331.04759999999
2025-04-10,79626.14,82565.98,82700.93,78456.13,44718000633.0,-3.56,-3.5699030989797653,83411.25366666667,92193.017
2025-04-11,83404.84,79625.05,84247.48,78936.32,41656778779.0,4.75,4.745552151592425,83400.66966666667,92082.86779999999
2025-04-12,85287.11,83404.52,85856.19,82769.38,24258059104.0,2.26,2.256787495785617,83541.35,91966.8701
2025-04-13,83684.98,85279.47,86015.19,83027.01,28796984817.0,-1.87,-1.878513646434976,83531.87933333333,91822.6456
2025-04-14,84542.39,83694.52,85785.0,83690.64,34090769777.0,1.01,1.0245685665456472,83538.52200000001,91685.7072
2025-04-15,83668.99,84539.7,86429.35,83598.82,28040322885.0,-1.03,-1.033091210220094,83574.832,91539.2475
2025-04-16,84033.87,83674.51,85428.28,83100.62,29617804112.0,0.43,0.4360994437724086,83573.43800000001,91358.80529999999
2025-04-17,84895.75,84030.67,85449.07,83749.75,21276866029.0,1.03,1.0256340687391896,83646.013,91238.5358
2025-04-18,84450.8,84900.19,85095.05,84298.88,12728372364.0,-0.53,-0.5241133979027146,83565.89866666668,91132.6086
2025-04-19,85063.41,84450.87,85597.7,84353.46,15259300427.0,0.73,0.7254046142842974,83595.77233333333,91058.4023
