iter	Passed	Remaining
600	1440	956
601	1442	953
602	1444	951
603	1447	949
604	1450	946
605	1452	944
606	1454	941
607	1456	939
608	1459	936
609	1461	934
610	1463	931
611	1465	929
612	1468	926
613	1470	924
614	1472	921
615	1474	919
616	1477	916
617	1479	914
618	1482	912
619	1484	909
620	1486	907
621	1488	904
622	1491	902
623	1493	899
624	1496	897
625	1498	895
626	1501	893
627	1503	890
628	1505	888
629	1508	885
630	1510	883
631	1512	880
632	1514	878
633	1517	875
634	1519	873
635	1521	870
636	1523	868
637	1526	866
638	1528	863
639	1530	861
640	1532	858
641	1535	856
642	1537	853
643	1539	851
644	1541	848
645	1544	846
646	1546	843
647	1548	841
648	1551	839
649	1553	836
650	1555	834
651	1557	831
652	1560	829
653	1562	826
654	1564	823
655	1566	821
656	1568	818
657	1570	816
658	1573	813
659	1575	811
660	1577	808
661	1579	806
662	1581	804
663	1584	801
664	1586	799
665	1588	796
666	1590	794
667	1592	791
668	1595	789
669	1597	786
670	1600	784
671	1602	782
672	1604	779
673	1606	777
674	1609	774
675	1611	772
676	1613	769
677	1615	767
678	1617	764
679	1619	762
680	1622	759
681	1624	757
682	1626	754
683	1628	752
684	1630	749
685	1633	747
686	1635	745
687	1637	742
688	1639	740
689	1642	737
690	1644	735
691	1647	733
692	1649	730
693	1652	728
694	1654	726
695	1656	723
696	1659	721
697	1661	718
698	1663	716
699	1665	713
700	1668	711
701	1670	709
702	1672	706
703	1674	704
704	1676	701
705	1679	699
706	1681	696
707	1683	694
708	1685	691
709	1687	689
710	1690	686
711	1692	684
712	1694	682
713	1697	679
714	1700	677
715	1702	675
716	1704	672
717	1707	670
718	1709	668
719	1711	665
720	1713	663
721	1715	660
722	1718	658
723	1720	656
724	1723	653
725	1725	651
726	1727	648
727	1729	646
728	1731	643
729	1733	641
730	1736	638
731	1738	636
732	1740	634
733	1742	631
734	1745	629
735	1747	626
736	1750	624
737	1752	622
738	1754	619
739	1756	617
740	1759	614
741	1761	612
742	1763	609
743	1765	607
744	1768	605
745	1770	602
746	1772	600
747	1774	597
748	1776	595
749	1778	592
750	1780	590
751	1783	588
752	1785	585
753	1787	583
754	1789	580
755	1791	578
756	1794	575
757	1796	573
758	1799	571
759	1801	568
760	1803	566
761	1805	564
762	1808	561
763	1810	559
764	1812	556
765	1814	554
766	1816	551
767	1818	549
768	1821	547
769	1823	544
770	1825	542
771	1827	539
772	1829	537
773	1831	534
774	1834	532
775	1836	530
776	1838	527
777	1840	525
778	1843	522
779	1845	520
780	1848	518
781	1850	516
782	1853	513
783	1855	511
784	1857	508
785	1859	506
786	1862	503
787	1864	501
788	1866	499
789	1868	496
790	1870	494
791	1873	491
792	1875	489
793	1877	487
794	1879	484
795	1881	482
796	1884	479
797	1886	477
798	1888	475
799	1890	472
800	1893	470
801	1895	468
802	1898	465
803	1901	463
804	1903	461
805	1905	458
806	1907	456
807	1909	453
808	1912	451
809	1914	449
810	1916	446
811	1919	444
812	1921	441
813	1923	439
814	1925	437
815	1927	434
816	1930	432
817	1932	429
818	1934	427
819	1936	425
820	1939	422
821	1941	420
822	1943	418
823	1946	415
824	1949	413
825	1951	411
826	1953	408
827	1955	406
828	1957	403
829	1959	401
830	1962	399
831	1964	396
832	1966	394
833	1968	391
834	1970	389
835	1972	387
836	1975	384
837	1977	382
838	1979	379
839	1982	377
840	1984	375
841	1986	372
842	1988	370
843	1990	367
844	1992	365
845	1995	363
846	1998	360
847	2000	358
848	2002	356
849	2004	353
850	2006	351
851	2009	348
852	2011	346
853	2013	344
854	2015	341
855	2017	339
856	2019	337
857	2022	334
858	2024	332
859	2026	329
860	2028	327
861	2031	325
862	2033	322
863	2035	320
864	2037	318
865	2040	315
866	2042	313
867	2044	310
868	2047	308
869	2049	306
870	2052	303
871	2054	301
872	2056	299
873	2059	296
874	2061	294
875	2063	292
876	2065	289
877	2067	287
878	2070	284
879	2072	282
880	2074	280
881	2077	277
882	2079	275
883	2081	273
884	2083	270
885	2085	268
886	2088	266
887	2090	263
888	2092	261
889	2095	259
890	2098	256
891	2100	254
892	2102	251
893	2105	249
894	2107	247
895	2109	244
896	2111	242
897	2113	240
898	2116	237
899	2118	235
900	2120	233
901	2123	230
902	2125	228
903	2127	225
904	2129	223
905	2132	221
906	2134	218
907	2136	216
908	2139	214
909	2141	211
910	2143	209
911	2146	207
912	2148	204
913	2151	202
914	2153	200
915	2155	197
916	2157	195
917	2159	192
918	2162	190
919	2164	188
920	2166	185
921	2168	183
922	2170	181
923	2173	178
924	2175	176
925	2177	174
926	2179	171
927	2182	169
928	2184	166
929	2186	164
930	2188	162
931	2190	159
932	2193	157
933	2195	155
934	2198	152
935	2200	150
936	2202	148
937	2205	145
938	2207	143
939	2209	141
940	2211	138
941	2213	136
942	2216	133
943	2218	131
944	2220	129
945	2222	126
946	2224	124
947	2226	122
948	2228	119
949	2231	117
950	2233	115
951	2235	112
952	2237	110
953	2240	108
954	2242	105
955	2244	103
956	2247	100
957	2249	98
958	2251	96
959	2253	93
960	2256	91
961	2258	89
962	2260	86
963	2262	84
964	2265	82
965	2267	79
966	2269	77
967	2271	75
968	2273	72
969	2276	70
970	2278	68
971	2280	65
972	2283	63
973	2285	61
974	2287	58
975	2289	56
976	2291	53
977	2294	51
978	2297	49
979	2299	46
980	2302	44
981	2304	42
982	2306	39
983	2308	37
984	2311	35
985	2313	32
986	2315	30
987	2318	28
988	2320	25
989	2322	23
990	2324	21
991	2326	18
992	2329	16
993	2331	14
994	2333	11
995	2335	9
996	2338	7
997	2340	4
998	2342	2
999	2345	0
