Date,Price,Open,High,Low,Vol.,Change %
1/16/2017,831.53,821.78,834.53,820.27,82755200,1.19
1/17/2017,907.94,830.95,910.56,830.8,155095008,9.27
1/18/2017,886.62,909.37,917.5,858.3,225676992,-2.5
1/19/2017,899.07,888.34,904.61,884.34,105625000,1.21
1/20/2017,895.03,898.17,899.4,887.01,86728400,-0.35
1/21/2017,921.79,895.55,927.37,895.53,111158000,2.93
1/22/2017,924.67,922.21,937.53,897.56,116573000,0.27
1/23/2017,921.01,925.5,928.27,916.74,73588600,-0.48
1/24/2017,892.69,910.68,924.15,892.29,111349000,-1.98
1/25/2017,901.54,891.92,903.25,891.69,120831000,1.08
1/26/2017,917.59,902.4,919.33,902.22,131958000,1.68
1/27/2017,919.75,918.36,923.22,915.85,125594000,0.15
1/28/2017,921.59,919.81,923.91,919.81,68979600,0.19
1/29/2017,919.5,922.07,923.42,919.15,60851700,-0.28
1/30/2017,920.38,920.15,923.05,919.47,78227296,0.03
1/31/2017,970.4,920.96,972.02,920.96,164582000,5.37
2/1/2017,989.02,970.94,989.11,970.74,150110000,1.86
2/2/2017,1011.8,990,1013.52,983.22,145820992,2.2
2/3/2017,1029.91,1011.46,1033.87,1008.79,201278000,1.82
2/4/2017,1042.9,1031.33,1045.9,1015.16,155064000,1.12
2/5/2017,1027.34,1043.52,1043.63,1022.37,114208000,-1.55
2/6/2017,1038.15,1028.4,1044.64,1028.16,111762000,0.95
2/7/2017,1061.35,1040.14,1061.93,1040.14,146007008,2.04
2/8/2017,1063.07,1062.32,1078.97,1037.49,201855008,0.07
2/9/2017,994.38,1064.7,1088.99,953.34,407220000,-6.6
2/10/2017,988.67,995.63,998.91,946.69,190452000,-0.7
2/11/2017,1004.45,988.9,1009.29,982.83,102261000,1.57
2/12/2017,999.18,1003.52,1004.76,996.92,67530000,-0.43
2/13/2017,990.64,998.89,1002.1,976,100607000,-0.83
2/14/2017,1004.55,991.73,1011.51,986.47,137946000,1.29
2/15/2017,1007.48,1006.21,1008.84,1001.58,89759400,0.13
